,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_smote__sampling_strategy,param_mlp__learning_rate_init,param_mlp__hidden_layer_sizes,param_mlp__alpha,param_mlp__activation,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,321.86105012893677,1.3536485570118018,0.1602015495300293,0.030213883578440303,0.33,0.0001,"(32, 32)",0.001,tanh,"{'smote__sampling_strategy': 0.33, 'mlp__learning_rate_init': 0.0001, 'mlp__hidden_layer_sizes': (32, 32), 'mlp__alpha': 0.001, 'mlp__activation': 'tanh'}",0.4340410825154233,0.4169035254253561,0.40705200228504085,0.4745278448813157,0.4406773918724678,0.4346403693959207,0.023253082030674093,13,0.9074606844198538,0.9046481943779547,0.9020781677843379,0.9175448215967971,0.9124303879141152,0.9088324512186118,0.00554726311329825,7
1,71.59861760139465,14.157422669085244,0.12266407012939454,0.01826937947452872,0.5,0.01,"(4, 4)",0.0001,tanh,"{'smote__sampling_strategy': 0.5, 'mlp__learning_rate_init': 0.01, 'mlp__hidden_layer_sizes': (4, 4), 'mlp__alpha': 0.0001, 'mlp__activation': 'tanh'}",0.4449911941584928,0.4189766898342787,0.40809354485312954,0.4471226749673174,0.42385837850915775,0.42860849646447524,0.015148373830450935,22,0.9079971862205855,0.907175733074329,0.89333106403755,0.9111075742856022,0.9005813682485477,0.9040385851733228,0.00635745521433966,25
2,293.45599298477174,22.949823259082837,0.15069026947021485,0.01708816777040845,0.5,0.001,"(16, 16)",0.001,logistic,"{'smote__sampling_strategy': 0.5, 'mlp__learning_rate_init': 0.001, 'mlp__hidden_layer_sizes': (16, 16), 'mlp__alpha': 0.001, 'mlp__activation': 'logistic'}",0.4339062446702783,0.4143056092886976,0.4019966404438582,0.45738162034768465,0.42883861377015736,0.42728574570413513,0.018761806216780703,23,0.9013218586539404,0.90133303321651,0.8961970937418705,0.9121907015426284,0.9133540513620663,0.9048793477034032,0.006721459747615183,21
3,27.24492015838623,6.494383924107144,0.09017524719238282,0.012234747872051642,1,0.1,"(4, 4)",0.0001,tanh,"{'smote__sampling_strategy': 1, 'mlp__learning_rate_init': 0.1, 'mlp__hidden_layer_sizes': (4, 4), 'mlp__alpha': 0.0001, 'mlp__activation': 'tanh'}",0.3288137140216556,0.34220335740718766,0.2765080038854842,0.31237861231127506,0.34339993050725853,0.3206607236265722,0.024761598819642988,50,0.8668024990005827,0.8735372298050634,0.8582914425384038,0.8776978516544983,0.8457630465928718,0.864418413918284,0.011408265773399038,50
4,215.5867810726166,30.040801022373305,0.19282889366149902,0.03417156593609911,0.25,0.01,"(32, 32)",1e-05,relu,"{'smote__sampling_strategy': 0.25, 'mlp__learning_rate_init': 0.01, 'mlp__hidden_layer_sizes': (32, 32), 'mlp__alpha': 1e-05, 'mlp__activation': 'relu'}",0.3729819459487073,0.3511270189863019,0.39855696376024435,0.4101622685040019,0.4022299540052755,0.3870116302409062,0.021842076469472758,40,0.8851644235574269,0.8856761816838973,0.8891670966110317,0.8991755107748468,0.907972393134715,0.8934311211523835,0.008844273668022732,42
5,65.32902998924256,11.229026940455876,0.08518562316894532,0.002955973082747545,0.25,0.001,"(8, 8)",0.1,tanh,"{'smote__sampling_strategy': 0.25, 'mlp__learning_rate_init': 0.001, 'mlp__hidden_layer_sizes': (8, 8), 'mlp__alpha': 0.1, 'mlp__activation': 'tanh'}",0.4585557975315445,0.4407736431054841,0.41784127923322034,0.46682235962762103,0.45156285041577127,0.44711118598272825,0.016948266619525615,4,0.9150326171359706,0.9096151032440553,0.899141897972437,0.9146587719814728,0.9082198073677186,0.9093336395403309,0.005762409587374047,6
6,411.6976472377777,0.5832824794601903,0.2417154312133789,0.010467292948974331,0.5,0.0001,"(32, 32)",0.1,logistic,"{'smote__sampling_strategy': 0.5, 'mlp__learning_rate_init': 0.0001, 'mlp__hidden_layer_sizes': (32, 32), 'mlp__alpha': 0.1, 'mlp__activation': 'logistic'}",0.45961468923439247,0.43880150362772163,0.4120540702557423,0.46521372765327745,0.42708275803335105,0.440553349760897,0.019840381241278224,8,0.9149642803879489,0.9081928638629443,0.89783250939354,0.9145490486143824,0.9082615746192494,0.9087600553756129,0.006196552286377314,8
7,84.57818951606751,14.748428884273343,0.08546972274780273,0.00916158663617271,1,0.01,"(8, 8)",0.01,relu,"{'smote__sampling_strategy': 1, 'mlp__learning_rate_init': 0.01, 'mlp__hidden_layer_sizes': (8, 8), 'mlp__alpha': 0.01, 'mlp__activation': 'relu'}",0.43935858415429985,0.4231021379496097,0.40606620827710505,0.46618856631146294,0.4411956471435624,0.4351822287672079,0.02004328993023929,12,0.9072173306904878,0.9053436881005216,0.8961307217521026,0.9090048293001255,0.9110329636226253,0.9057459066931726,0.005164343082338948,20
8,270.76000328063964,2.1092296525270084,0.17383270263671874,0.01853536097765414,0.5,0.0001,"(16, 16)",1e-05,logistic,"{'smote__sampling_strategy': 0.5, 'mlp__learning_rate_init': 0.0001, 'mlp__hidden_layer_sizes': (16, 16), 'mlp__alpha': 1e-05, 'mlp__activation': 'logistic'}",0.46017002911027083,0.4444767807406673,0.40937503279463994,0.4635908373992324,0.4204456254488785,0.43961166109873784,0.021461162103716402,9,0.9156078001148279,0.9117651627608808,0.8995653647748685,0.9177106026260009,0.91081281156775,0.9110923483688657,0.006286378364173811,3
9,133.57241387367247,11.210851856014926,0.23661298751831056,0.00820313167031805,0.33,0.01,"(32, 32)",0.01,logistic,"{'smote__sampling_strategy': 0.33, 'mlp__learning_rate_init': 0.01, 'mlp__hidden_layer_sizes': (32, 32), 'mlp__alpha': 0.01, 'mlp__activation': 'logistic'}",0.4534009111625623,0.42465294118414015,0.4282385592946351,0.4478867023339297,0.4566830019479629,0.44217242318464606,0.013193738188883171,7,0.9070133949235928,0.9007601833880794,0.9039047789735992,0.9085207646412309,0.9131977154969383,0.9066793674846881,0.004212511374519549,15
